match_type,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,umpire1,umpire2,batting_avg,runs,bowling_avg,wickets
League,MA Chidambaram Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,80.0,180.0,20.0,AY Dandekar,Nitin Menon,24.28,4978.0,0.0,0.0
League,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,tie,-1.0,163.0,20.0,CK Nandan,S Ravi,0.47,56.0,23.64,148.0
League,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,184.0,20.0,BNJ Oxenford,C Shamshuddin,27.14,1900.0,0.0,0.0
League,Arun Jaitley Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,wickets,5.0,116.0,20.0,AY Dandekar,IJ Gould,2.35,362.0,24.23,166.0
League,M.Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4.0,176.0,20.0,AK Chaudhary,NJ Llong,19.33,831.0,0.0,0.0
League,Punjab Cricket Association IS Bindra Stadium,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,171.0,20.0,C Shamshuddin,KN Ananthapadmanabhan,39.34,3895.0,0.0,0.0
League,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,9.0,134.0,20.0,A Nand Kishore,CK Nandan,18.78,1972.0,31.32,50.0
Qualifier,MA Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,wickets,6.0,132.0,20.0,NJ Llong,Nitin Menon,24.26,2644.0,80000.0,0.0
Eliminator,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,2.0,163.0,20.0,BNJ Oxenford,S Ravi,29.39,2851.0,0.0,0.0
Qualifier,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,148.0,20.0,BNJ Oxenford,S Ravi,31.22,3403.0,160000.0,0.0
Final,Rajiv Gandhi International Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,1.0,150.0,20.0,IJ Gould,Nitin Menon,0.47,56.0,23.64,148.0
League,Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,163.0,20.0,CB Gaffaney,VK Sharma,24.22,4190.0,0.0,0.0
League,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,Delhi Capitals,tie,-1.0,158.0,20.0,AK Chaudhary,Nitin Menon,15.97,1070.0,31.53,34.0
League,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,10.0,164.0,20.0,AY Dandekar,Nitin Menon,0.28,37.0,22.28,166.0
League,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,16.0,217.0,20.0,C Shamshuddin,VA Kulkarni,26.51,3526.0,0.0,0.0
League,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,49.0,196.0,20.0,CB Gaffaney,S Ravi,26.61,5881.0,30.8,15.0
